"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","This test will create a new student","SUCCESS","2019-04-09T10:22:45.14-04:00[America/New_York]","0.0","28.37"
"Student CRUD test","Verify if the student was added to the application","SUCCESS","2019-04-09T10:23:14.091-04:00[America/New_York]","0.0","5.92"
"Student CRUD test","Update the user information and verify the updated information!","SUCCESS","2019-04-09T10:23:20.017-04:00[America/New_York]","0.0","1.24"
"Student CRUD test","Delete the student and verify if the student is deleted","SUCCESS","2019-04-09T10:23:21.26-04:00[America/New_York]","0.0","0.15"
