"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","This test will create a new student","SUCCESS","2019-04-09T10:22:45.14-04:00[America/New_York]","0.0","28.37"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2019-04-09T10:22:46.441-04:00[America/New_York]","0.0","27.7"
"First serentiy test","Get all students","SUCCESS","2019-04-09T10:23:13.57-04:00[America/New_York]","0.0","0.72"
"Student CRUD test","Verify if the student was added to the application","SUCCESS","2019-04-09T10:23:14.091-04:00[America/New_York]","0.0","5.92"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2019-04-09T10:23:14.892-04:00[America/New_York]","0.0","2.77"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2019-04-09T10:23:17.665-04:00[America/New_York]","0.0","0.39"
"Student CRUD test","Update the user information and verify the updated information!","SUCCESS","2019-04-09T10:23:20.017-04:00[America/New_York]","0.0","1.24"
"Student CRUD test","Delete the student and verify if the student is deleted","SUCCESS","2019-04-09T10:23:21.26-04:00[America/New_York]","0.0","0.15"
